dnpi,dname,dspec,dhospital,dconf
1,PXPCMEAGHU,_SK1125,_SK1124,_SKmst1b-C2([ab5b33e7c9])
_SK413,_SK414,Or7406,HH43466,_SKmst1b-C2([431428a3e1])
100,PMNRTDWAFF,_SK670,_SK669,_SK668
101,EFELAGUHDD,_SK899,HH88635,_SK898
102,_SK948,_SK949,HH17672,_SKmst1b-C2([3ec5f2fede])
103,OUAAZLXHBU,Ud8024,HH54002,_SKmst1b-C2([bc8c1818a7])
104,KHRMBGORUK,Pz4540,_SK854,_SKmst1b-C2([5e0dca4341])
_SK511,LPUYKUCILX,Nl3094,HH21330,_SKmst1b-C2([e5be7c75c3])
106,VGTOEXCFEJ,Qr2013,HH25699,_SKmst1b-C2([7638f2c91b])
107,YXMVEDWNTV,Jo3328,HH84596,_SKmst1b-C2([8b28efc5ea])
_SK365,ABJNVKRWUH,Vm6094,HH75460,_SKmst1b-C2([4213dbb58c])
109,FHMVMFGCXN,Do3833,HH48484,_SKmst1b-C2([47962d758f])
_SK1105,_SK1106,Pb3883,HH48180,_SKmst1b-C2([bcf4b957b4])
_SK774,OBBXJTSGDQ,Xf4878,HH43073,_SK775
111,_SK1126,Cy4265,HH65795,_SKmst1b-C2([924a43743b])
112,_SK1171,Dn9938,HH43889,_SKmst1b-C2([caf14cecfa])
113,FBIUHOEGYQ,Bk5446,HH81553,_SK549
114,AHLIUNSIOB,Ti9227,_SK1082,_SK1081
115,QPFQJDMBAT,_SK115,HH17558,_SKmst1b-C2([83bf536a97])
116,_SK573,Lc7576,_SK574,_SKmst1b-C2([ba6938a795])
117,OKXUZIYQZO,Jz5004,HH48488,_SK813
118,IAFWDUBFUC,Hg0796,HH15635,_SK799
119,OIVRWFCIUB,Hr5748,HH32183,_SK1152
12,_SK474,_SK475,HH46684,_SKmst1b-C2([55ddfe345f])
120,VGTJPTHATT,Zv1497,HH16893,_SKmst1b-C2([82578d1582])
121,ACXLMQHZQF,Us0864,HH88134,_SKmst1b-C2([cc74b99de7])
122,WYJNJGUOTY,Xz4928,HH49095,_SKmst1b-C2([3ad54af58a])
123,YNKDSKFIOT,_SK1139,HH26215,_SK1138
124,ZGHWYFZJJQ,Pm1696,HH93868,_SKmst1b-C2([ef80ebe026])
125,_SK129,Jh9598,HH01579,_SKmst1b-C2([8e61c392ce])
_SK174,_SK175,Ln7611,HH53407,_SK176
_SK490,IZVWMVZLVO,_SK492,_SK491,_SKmst1b-C2([08253190d3])
_SK924,CSRQCVTJDI,Dd3034,HH79933,_SKmst1b-C2([9261805e20])
_SK277,LDPQLORGON,Mq1842,HH04662,_SK278
13,TUKYDHUFRJ,Xj0188,HH36927,_SKmst1b-C2([514d407837])
_SK518,YKZZJTYHTE,Ot2680,HH68014,_SKmst1b-C2([7329192253])
131,RJYRXINDNN,_SK402,HH41679,_SKmst1b-C2([768fe93230])
132,_SK913,Dc2174,HH80547,_SKmst1b-C2([d1f7dca41c])
133,_SK144,_SK145,HH84019,_SKmst1b-C2([9acce8d45a])
134,WVPVYBLHGG,_SK753,HH14024,_SK752
135,SQSMYUGHRY,_SK807,HH70518,_SK806
136,_SK776,Ca8148,HH68908,_SK777
_SK893,KQKSAIVLHX,Cv1446,HH89204,_SK894
138,QFIIYPEMPY,_SK367,HH45721,_SKmst1b-C2([cea681db5c])
139,_SK1076,_SK1077,HH84438,_SKmst1b-C2([d61577e4bd])
14,IAVESATDBY,Am6613,HH82432,_SK1117
140,CYXCJSIPDU,Hg9297,HH81840,_SKmst1b-C2([8dc2770a75])
141,_SK824,Jd0198,HH10160,_SKmst1b-C2([daab36a4de])
142,ZGKKTOSUCE,Ck1206,HH82606,_SKmst1b-C2([273c538a7d])
143,JSPAQSFHIZ,Nf1911,HH07705,_SKmst1b-C2([a0359b2cd1])
_SK621,YLILGGAZAI,Tj4756,_SK622,_SKmst1b-C2([74ca9ee0bd])
145,XWYSQUVMXM,Pp9963,_SK825,_SKmst1b-C2([140108da9b])
146,_SK642,_SK643,HH08216,_SKmst1b-C2([d4a8a02d7f])
_SK217,KVLZOMAGFL,Uz6193,HH75261,_SKmst1b-C2([5486380210])
148,VWSTLZNIQW,_SK307,HH26542,_SKmst1b-C2([5c525cbab9])
_SK1062,CEZNTQURWQ,Fn0493,HH84051,_SKmst1b-C2([2e28cad9d4])
15,YTFWTTZUHR,Ju8293,_SK242,_SKmst1b-C2([8ca9410794])
150,RGGTCWOXIG,_SK424,HH99337,_SKmst1b-C2([4d2f56ea02])
_SK872,_SK873,_SK875,HH67590,_SK874
152,HZJHQDPQPE,To6392,_SK243,_SKmst1b-C2([c002f2f60c])
153,KNYTCOOICF,Sf6557,HH01721,_SKmst1b-C2([77160470c9])
154,RRVQVFKALC,Tx8953,HH40589,_SKmst1b-C2([a75bad0ea6])
_SK394,ULIPSLJVSB,Ee6561,HH93532,_SK395
156,GYADZZNGTM,_SK1144,HH41334,_SKmst1b-C2([d654d53e5f])
157,ZHMCDQHTMF,_SK280,HH76566,_SKmst1b-C2([c30b663965])
158,WAAMRHEKEI,Ws7208,HH37978,_SKmst1b-C2([c7b7ae7895])
159,DSYTDENPAI,_SK1041,_SK1040,_SKmst1b-C2([69cfc3da54])
16,UOGGUPQUOK,Ej2473,HH13744,_SK504
160,TCCOJLKBGT,Fm3578,HH00195,_SKmst1b-C2([129a4a1fe7])
161,MZQAXWKHVL,Ib2919,HH23033,_SKmst1b-C2([12c805c79f])
162,NQIPQJZVDK,Fd2493,HH55656,_SKmst1b-C2([feb81af324])
163,DDNGPKTSWH,_SK458,HH32831,_SKmst1b-C2([b2402bd1b9])
164,SBLYQQVKVI,_SK585,HH45169,_SKmst1b-C2([c70cea6df1])
165,_SK879,Lj2705,HH57951,_SKmst1b-C2([97d6e82203])
166,SBJBGSDMAD,_SK303,HH22910,_SKmst1b-C2([9bb266dbaf])
167,_SK677,Sk0284,HH38006,_SKmst1b-C2([231deaeb7b])
168,_SK489,Cq9346,HH23664,_SKmst1b-C2([017ea9e7c5])
169,RXSYTZQVTS,Ei9755,HH70906,_SKmst1b-C2([893cc015b4])
17,HHNNKNTJVF,Do4471,HH18895,_SK211
_SK244,ISVFLHCQDC,Ro7885,HH90679,_SKmst1b-C2([af67cbd2d6])
171,DLEVYMJMDT,Dy5459,HH45537,_SKmst1b-C2([50f97e3b6e])
_SK497,_SK498,Er2325,HH06053,_SK499
173,_SK996,_SK998,HH23580,_SK997
174,_SK195,Zk3579,HH42262,_SKmst1b-C2([eade30399a])
175,WMYJQSBWKC,_SK472,_SK471,_SKmst1b-C2([db0726f53b])
